//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,Nation,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date
Snapshot RP George Zuverink BAL 1958,70594,69,7,,,,1958,N,Baltimore Orioles,BAL,Zuverink,George,,The United States,35,20,8,1924,1,1,1,12,3,4,2,2,1,1,3,4,2,3,1,1,3,4,2,2,1,1,0,0,0,6,3,6,8,25,44,36,94,93,102,79,32,73,117,72,76,38,121,77,140,83,33,0,33,0,0,46,0,0,0,0,0,0,25,36,2,88-90,3,193,35,20,26,23,0,0,0,1,4,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,zuverge01,0,33,49,1445,3/14/2025
PTCS 4 - Unsung Heroes C Mike Zunino SEA 2017,73885,59,8,,PTCS,,2017,N,Seattle Mariners,SEA,Zunino,Mike,Z,The United States,3,25,3,1991,1,1,2,0,63,104,101,73,31,95,53,61,141,88,33,70,67,125,90,69,31,106,2,1,0,7,3,16,20,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,0,20,4,0,0,0,0,0,0,0,0,1,19,2,93-95,3,188,6,6,6,5,53,89,72,9,1,9,0,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,zuninmi01,9,1999,1571,0,7/8/2025
MLB 2025 Live RP Yosver Zulueta CIN,73691,48,1,,,,2025,N,Cincinnati Reds,CIN,Zulueta,Yosver,,Cuba,67,23,1,1998,1,1,1,12,18,12,5,14,17,20,20,13,5,15,19,21,18,12,5,14,17,20,0,0,0,12,13,8,16,51,12,76,63,54,58,73,69,61,54,57,69,82,66,55,61,77,98,85,0,56,0,74,0,0,0,0,0,0,21,46,0,97-99,3,185,27,36,52,15,1,1,1,6,21,23,76,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,0,1,0,2,zulueyo01,0,22,26,0,6/2/2025
MLB 2025 Live RP Tyler Zuber MIA,75320,41,1,,,,2025,N,Miami Marlins,FLA,Zuber,Tyler,,The United States,55,16,6,1995,1,1,1,12,20,11,5,17,24,16,21,12,5,18,25,17,20,11,5,17,24,16,0,0,0,13,13,10,16,52,7,76,54,55,40,84,72,51,55,39,77,78,59,56,44,90,82,79,0,65,74,0,0,0,0,0,0,0,17,39,4,94-96,3,180,28,14,62,8,1,1,3,13,21,28,57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,zuberty01,20,0,17,0,9/8/2025
Snapshot RP Sam Zoldak CLE 1949,70549,51,7,,,,1949,N,Cleveland,CLE,Zoldak,Sam,Sad Sam,The United States,20,8,12,1918,2,2,1,12,3,2,3,2,1,1,5,1,3,4,3,3,3,3,3,2,1,1,1,1,0,7,4,11,7,30,41,33,75,75,67,92,40,87,92,87,88,30,72,70,62,93,34,0,33,32,0,0,0,0,0,0,0,0,24,115,1,88-90,3,183,33,69,42,23,0,0,0,9,9,8,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,zoldasa01,0,10,13,312,3/14/2025
Baseball Reference 9 2B Ben Zobrist CHC 2016,75775,68,5,BBR,,,2016,N,Chicago Cubs,CHC,Zobrist,Ben,Zorilla,The United States,18,26,5,1981,3,1,4,0,106,78,71,132,111,93,107,76,69,122,84,120,106,79,72,135,120,84,2,0,0,63,34,43,75,60,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,0,0,13,0,0,0,0,0,0,0,0,1,1,4,98-100,4,191,64,75,37,61,0,0,0,71,53,51,0,0,95,68,0,46,80,0,67,0,1,1,0,1,1,0,1,7,1,2,0,2,zobribe01,0,43,51,7657,10/9/2025
Stocking Stuffers - Immortal Seasons 2B Ben Zobrist TB 2009,73222,103,7,IMM,,Stocking Stuffers,2009,N,Tampa Bay Rays,TBD,Zobrist,Ben,Zorilla,The United States,18,26,5,1981,3,1,4,0,171,155,140,166,153,164,181,164,138,173,158,177,168,152,140,164,152,160,1,0,3,70,62,82,80,64,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,0,0,13,0,0,0,0,0,0,0,0,1,15,4,96-98,4,191,114,105,78,100,0,0,0,106,121,84,0,0,117,131,113,116,132,121,126,0,1,1,1,1,1,1,1,6,5,200,0,0,zobribe01,53536,0,118508,385876,12/18/2025
Rivalry Week - Snapshot SP Barry Zito SF 2007,73499,70,7,,,Rivalry Week,2007,N,San Francisco Giants,SFG,Zito,Barry,,The United States,75,13,5,1978,2,2,1,11,5,8,1,8,5,2,5,8,1,5,6,1,6,8,1,10,5,3,0,2,0,5,5,6,5,45,39,61,103,75,87,136,88,111,84,93,149,54,101,73,86,132,59,46,63,90,0,72,0,0,0,0,0,0,68,106,2,89-91,3,188,26,30,26,23,0,0,0,1,6,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,6,zitoba01,0,150,124,1910,5/15/2025
T4 Ep. 16 - Baseball Reference 10 SP Barry Zito OAK 2002,75534,89,9,BBR,,T4 Ep. 16,2002,N,Oakland Athletics,OAK,Zito,Barry,,The United States,75,13,5,1978,2,2,1,11,4,6,1,5,2,2,4,6,1,3,2,2,4,6,1,6,2,2,0,1,0,5,4,6,5,22,51,110,143,94,136,158,96,141,91,131,163,114,143,95,137,156,73,56,130,138,0,101,0,0,0,0,0,0,93,61,3,90-92,3,188,35,30,29,23,0,0,0,7,10,9,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,15,0,0,zitoba01,12000,34554,13495,109527,12/30/2025
Historical All-Star SP Jordan Zimmermann WAS 2013,70284,84,5,,,,2013,N,Washington Nationals,WSN,Zimmermann,Jordan,J Z,The United States,27,23,5,1986,1,1,1,11,5,9,4,7,4,2,5,5,2,8,4,2,6,11,5,7,5,3,2,1,0,5,5,6,5,70,13,59,96,98,86,116,52,91,98,83,109,67,99,98,89,121,62,73,67,71,0,0,0,0,0,0,0,0,77,42,2,91-93,3,188,27,25,25,23,0,0,0,5,2,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,2,zimmejo02,0,1208,1271,6428,3/14/2025
