//Card Title,Card ID,Card Value,Card Type,Card Badge,Sell Order Low,Last 10 Price,owned,packs
Unsung Heroes SP Jimmy Zinn PIT 1921,82808,60,8,,0,0,0,1
Hardware Heroes 3B Heinie Zimmerman NY1 1917,82726,82,9,,0,0,0,1
Snapshot SS Don Zimmer LAD 1958,83534,59,7,,0,0,0,1
Veteran Presence C Charles Zimmer PHI 1903,83372,48,10,,0,0,0,1
Rookie Sensation SP George Zettlein CH1 1871,84091,87,3,,0,0,0,1
MLB 2026 Live RP Angel Zerpa MIL,81938,73,1,,0,0,0,1
Snapshot LF Gus Zernial CWS 1950,83514,59,7,,0,0,0,1
All-Time Legend 2B Rollie Zeider CWS Peak,84118,60,4,,0,0,0,1
MLB 2026 Live RP Ryan Zeferjahn LAA,82295,51,1,,0,0,0,1
Unsung Heroes SP Victor Zambrano NYM 2005,82794,51,8,,0,0,0,1
Snapshot SP Pat Zachry NYM 1982,82954,46,7,,0,0,0,1
Negro League Star C Tom Young KCM 1929,84557,91,2,,0,0,0,1
All-Time Legend 2B Ralph Young DET Peak,84142,68,4,,0,0,0,1
Unsung Heroes 2B Pep Young PIT 1938,82909,63,8,,0,0,0,1
Historical All-Star SS Michael Young TEX 2008,83921,59,5,,0,0,0,1
MLB 2026 Live LF Jared Young NYM,82077,64,1,,0,0,0,1
MLB 2026 Live CF Jacob Young WSH,82025,71,1,,0,0,0,1
Veteran Presence 2B Eric Young MIL 2003,83542,60,10,,0,0,0,1
Opening Day Heroes - Unsung Heroes DH Dmitri Young DET 2005,84667,64,8,,0,0,0,1
MLB 2026 Live 2B Cole Young SEA,82225,57,1,,0,0,0,1
MLB 2026 Live SP Brandon Young BAL,82629,57,1,,0,0,0,1
Live Collection Reward - Historical All-Star 1B Kevin Youkilis BOS 2009,84197,94,5,ME,0,0,0,0
Live Collection Reward - Snapshot 3B Eddie Yost WS1 1951,84192,81,7,ME,0,0,0,0
World Baseball Classic LF Masataka Yoshida JPN 2023,84212,94,3,,0,0,0,1
MLB 2026 Live LF Masataka Yoshida BOS,82609,68,1,,0,0,0,1
Negro League Star SP Laymon Yokely BBS 1928,84445,67,2,,0,0,0,1
MLB 2026 Live RP Huascar Ynoa LAA,82312,64,1,,0,0,0,1
MLB 2026 Live SP Trey Yesavage TOR,82508,79,1,,0,0,0,1
MLB 2026 Live LF Christian Yelich MIL,84941,76,1,,0,0,0,1
MLB 2026 Live RF Mike Yastrzemski ATL,82141,74,1,,0,0,0,1
Launch Deck Missions - Veteran Presence 1B Carl Yastrzemski BOS 1977,83950,81,10,,0,0,0,0
MLB 2026 Live SP Ryan Yarbrough NYY,82578,58,1,,0,0,0,1
MLB 2026 Live SP Yoshinobu Yamamoto LAD,81798,100,1,,0,0,0,1
All-Time Legend SP Hank Wyse CHC Peak,84021,58,4,,0,0,0,1
MLB 2026 Live C Austin Wynns ATH,82269,52,1,,0,0,0,1
Unsung Heroes CF Marvell Wynne PIT 1984,82831,45,8,,0,0,0,1
Snapshot RF Jimmy Wynn HOU 1972,83818,91,7,,0,0,0,1
Snapshot SP Early Wynn WS1 1943,83015,53,7,,0,0,0,1
Historical All-Star SP Whit Wyatt BRO 1939,83874,68,5,,0,0,0,1
MLB 2026 Live SP Justin Wrobleski LAD,81770,64,1,,0,0,0,1
Snapshot 3B Russ Wrightstone PHI 1921,83563,63,7,,0,0,0,1
Negro League Star RF Zollie Wright CEG 1935,84530,84,2,,0,0,0,1
Celebrating 42 - Negro League Star SP Johnny Wright HoGr 1941,84883,68,2,,0,0,0,1
Snapshot SP Jaret Wright ATL 2004,83217,74,7,,0,0,0,1
Snapshot SS Glenn Wright PIT 1928,83535,60,7,,0,0,0,1
Hardware Heroes 3B David Wright NYM 2007,83857,100,9,,0,0,0,1
Veteran Presence CL Tim Worrell PHI 2004,83098,58,10,,0,0,0,1
MLB 2026 Live SP Simeon Woods Richardson MIN,82350,74,1,,0,0,0,1
MLB 2026 Live SP Brandon Woodruff MIL,81948,94,1,,0,0,0,1
Snapshot LF Gene Woodling CLE 1956,83719,72,7,,0,0,0,1
Snapshot SP Hal Woodeshick HOU 1962,83148,66,7,,0,0,0,1
Snapshot LF Smoky Joe Wood CLE 1918,83782,87,7,,0,0,0,1
Snapshot SP Kerry Wood CHC 2000,83020,55,7,,0,0,0,1
MLB 2026 Live LF James Wood WSH,82027,95,1,,0,0,0,1
All-Time Legend SP Alex Wood LAD Peak,84043,72,4,,0,0,0,1
MLB 2026 Live SP Bryan Woo SEA,82251,99,1,,0,0,0,1
MLB 2026 Live C Connor Wong BOS,82594,70,1,,0,0,0,1
Hardware Heroes 2B Tony Womack PIT 1997,82700,42,9,,0,0,0,1
Unsung Heroes 3B Harry Wolverton PHI 1904,82894,61,8,,0,0,0,1
Snapshot RF Harry Wolter CHC 1917,83369,44,7,,0,0,0,1
MLB 2026 Live RP Grant Wolfram BAL,82628,55,1,,0,0,0,1
Veteran Presence SP Roger Wolff WS1 1945,84070,96,10,,0,0,0,1
Historical All-Star CL Mark Wohlers ATL 1996,83881,75,5,,0,0,0,1
MLB 2026 Live SS Bobby Witt Jr. KC,82379,100,1,,0,0,0,1
Snapshot RF Whitey Witt PHA 1921,83553,62,7,,0,0,0,1
MLB 2026 Live SS Masyn Winn STL,81878,81,1,,0,0,0,1
MLB 2026 Live RP Keaton Winn SF,81723,67,1,,0,0,0,1
MLB 2026 Live RP Cole Winn TEX,82199,52,1,,0,0,0,1
Historical All-Star LF Jesse Winker CIN 2020,83787,93,5,,0,0,0,1
Snapshot C Ivey Wingo CIN 1917,83711,66,7,,0,0,0,1
MLB 2026 Live 2B Will Wilson SEA,82224,41,1,,0,0,0,1
MLB 2026 Live RP Steven Wilson TB,82524,50,1,,0,0,0,1
Snapshot C Jimmie Wilson STL 1929,83693,73,7,,0,0,0,1
MLB 2026 Live SS Jacob Wilson ATH,82270,71,1,,0,0,0,1
All-Time Legend SP Jack Wilson BOS Peak,84017,53,4,,0,0,0,1
Unsung Heroes SP Highball Wilson WS1 1903,82798,50,8,,0,0,0,1
Rookie Sensation CF Glenn Wilson DET 1982,84356,69,3,,0,0,0,1
MLB 2026 Live SP Bryse Wilson PHI,84624,56,1,,0,0,0,1
Snapshot CF Bill Wilson PHA 1954,83579,60,7,,0,0,0,1
Snapshot RP Alex Wilson DET 2016,83115,62,7,,0,0,0,1
Hardware Heroes SS Maury Wills LAD 1965,82723,78,9,,0,0,0,1
Rookie Sensation 2B Bump Wills TEX 1977,84365,72,3,,0,0,0,1
MLB 2026 Live 3B Ben Williamson TB,82520,48,1,,0,0,0,1
Negro League Star SP Tom Williams CAG 1920,84436,68,2,,0,0,0,1
Hardware Heroes LF Ted Williams BOS 1948,82757,100,9,,0,0,0,1
Negro League Star SP Smokey Joe Williams SABB 1909,84548,94,2,,0,0,0,1
